Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
HG02878	False	False	2	1	0	2.969	2.96	0	AFR
HG02808	False	False	3	1	0	4.011	4.019	1	AFR
HG02702	False	False	3	1	0	4.094	3.951	1	AFR
HG03169	False	False	2	2	0	3.973	4.118	0	AFR
HG03074	False	False	2	1	0	2.977	3.022	2	AFR
HG02810	False	False	3	1	0	3.912	4.163	2	AFR
HG02014	False	False	3	1	0	4.013	3.95	1	AFR
HG02860	False	False	3	1	0	4.028	4.106	1	AFR
HG02983	False	False	3	1	0	4.045	4.087	1	AFR
HG02837	False	False	2	1	0	3.01	2.865	0	AFR
NA19318	False	False	2	2	0	4.025	4.006	0	AFR
HG02881	False	False	2	2	0	4.064	4.129	0	AFR
NA18856	False	False	3	1	0	4.014	3.943	1	AFR
HG03060	False	False	3	1	0	4.046	4.042	2	AFR
HG01889	False	False	2	2	0	3.839	4.068	0	AFR
HG02703	False	False	3	1	0	4.043	4.062	2	AFR
NA18853	False	False	4	0	0	3.952	3.874	2	AFR
HG02879	False	False	2	0	0	1.977	1.977	0	AFR
NA19042	False	False	2	2	0	3.899	3.835	2	AFR
HG02679	False	False	2	2	0	3.874	3.863	0	AFR
HG03159	False	False	4	0	0	4.006	4.101	1	AFR
HG02982	False	False	2	2	0	4.059	3.925	0	AFR
HG02722	False	False	4	1	0	4.988	4.795	2	AFR
NA18870	False	False	3	1	0	3.94	3.825	1	AFR
HG02817	False	False	4	0	0	4.082	3.833	2	AFR
HG02763	False	False	2	1	0	2.951	3.017	2	AFR
HG02811	False	False	4	1	0	5.022	4.977	1	AFR
HG02884	False	False	3	1	0	4.014	3.801	1	AFR
HG03270	False	False	3	1	0	3.996	4.111	1	AFR
HG02836	False	False	4	1	0	5.062	4.785	1	AFR
HG03224	False	False	4	0	0	3.951	3.85	1	AFR
NA19316	False	False	3	1	0	3.895	3.894	1	AFR
HG03225	False	False	2	2	0	3.824	3.97	0	AFR
NA19323	False	False	3	1	0	3.919	3.794	1	AFR
HG01885	False	False	2	2	0	3.975	3.893	0	AFR
HG03196	False	False	2	2	0	4.005	4.264	0	AFR
HG03063	False	False	3	1	0	4.018	3.964	1	AFR
NA19317	False	False	3	1	0	3.872	4.097	1	AFR
NA18858	False	False	4	0	0	4.095	3.926	1	AFR
HG01883	False	False	4	0	0	3.864	3.951	2	AFR
HG02756	False	False	2	2	0	4.008	4.061	0	AFR
NA19319	False	False	2	1	0	3.02	2.984	0	AFR
NA19320	False	False	3	1	0	4.06	4.12	1	AFR
HG02009	False	False	3	1	0	3.989	4.094	0	AFR
HG03558	False	False	3	1	0	3.978	3.913	1	AFR
HG02816	False	False	2	2	0	3.99	3.959	0	AFR
HG02882	False	False	3	1	0	4.0	3.937	2	AFR
HG03130	False	False	4	0	0	4.037	4.059	2	AFR
NA19324	False	False	2	2	0	3.904	3.983	0	AFR
HG02861	False	False	2	1	0	2.99	2.939	0	AFR
